,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
0,525,TRANSFER,778190.86,C1170878413,0.0,0.0,C631761162,2896656.36,3674847.22,0,0
1,373,TRANSFER,571996.82,C499641545,10958.0,0.0,C1068152940,2256965.98,2828962.81,0,0
2,39,CASH_OUT,425503.72,C1865923710,169.0,0.0,C31660639,16457.0,62320.9,0,0
3,129,CASH_OUT,295642.82,C1881986746,128159.0,0.0,C1323040398,0.0,295642.82,0,0
4,162,CASH_OUT,293744.9,C930564586,6039.0,0.0,C349801748,142003.23,435748.14,0,0
5,182,CASH_OUT,451513.82,C1445040485,0.0,0.0,C644931594,1051734.8,1503248.62,0,0
6,34,CASH_OUT,60328.18,C1058630620,671.0,0.0,C764862191,9195864.05,9256192.23,0,0
7,135,CASH_OUT,345799.77,C1000915383,45267.0,0.0,C490259066,1132049.11,1477848.88,0,0
8,21,TRANSFER,1081591.45,C398710936,0.0,0.0,C688134247,1497365.32,2578956.77,0,0
9,253,CASH_OUT,254233.47,C743466701,0.0,0.0,C984819729,677264.7,931498.16,0,0
10,139,CASH_OUT,4340.02,C1855060720,56.0,0.0,C1533120607,753897.86,758237.88,0,0
11,253,TRANSFER,2298136.9,C1124239567,200021.0,0.0,C1043072504,320342.65,2622123.72,0,0
12,297,CASH_OUT,234239.88,C1967088352,29583.0,0.0,C2114362714,1299725.02,1533964.9,0,0
13,329,CASH_OUT,104141.08,C1378494202,153902.58,49761.5,C932254471,413231.76,517372.84,0,0
14,37,CASH_OUT,160967.92,C161844161,0.0,0.0,C1620227183,296166.22,457134.14,0,0
15,186,CASH_OUT,63524.24,C2086044061,0.0,0.0,C2122310163,67911.56,131435.8,0,0
16,135,CASH_OUT,163266.71,C1857749054,123443.0,0.0,C1569575932,713358.31,876625.02,0,0
17,20,CASH_OUT,237988.11,C866356439,56606.0,0.0,C1304386051,0.0,184909.38,0,0
18,16,TRANSFER,765138.63,C595022131,10403.0,0.0,C434670081,495133.18,1260271.81,0,0
19,297,CASH_OUT,133061.22,C96577106,120645.0,0.0,C661019134,0.0,133061.22,0,0
20,134,TRANSFER,279290.84,C1349419712,0.0,0.0,C432312419,511727.14,791017.98,0,0
21,326,CASH_OUT,14639.01,C499293457,0.0,0.0,C944571379,323733.23,338372.24,0,0
22,273,CASH_OUT,86092.84,C378201976,10565.0,0.0,C1846991136,815896.73,901989.57,0,0
23,592,CASH_OUT,163392.46,C1755590696,28773.0,0.0,C119551562,102690.27,266082.73,0,0
24,347,CASH_OUT,163317.94,C2146659556,0.0,0.0,C1831216937,1803192.06,1966510.0,0,0
25,7,CASH_OUT,86050.93,C274958287,0.0,0.0,C461905695,89834.0,175884.93,0,0
26,160,CASH_OUT,248876.49,C1231823814,562.0,0.0,C1194392243,18182017.3,18430893.79,0,0
27,139,CASH_OUT,165745.53,C1786134956,0.0,0.0,C1210986776,731648.49,897394.01,0,0
28,162,CASH_OUT,301721.72,C162743831,0.0,0.0,C265178031,458954.39,760676.11,0,0
29,35,CASH_OUT,287691.82,C1512413786,49414.0,0.0,C806083492,1619503.67,2470785.95,0,0
30,301,CASH_OUT,63064.62,C1099492294,0.0,0.0,C201071687,2295147.24,2358211.86,0,0
31,548,CASH_OUT,73886.41,C153343983,198784.0,124897.59,C1834041378,977635.59,1051522.0,0,0
32,33,TRANSFER,285893.92,C688139815,0.0,0.0,C1351719168,526824.36,812718.28,0,0
33,588,CASH_OUT,16976.04,C1043616879,43425.25,26449.21,C1841015597,107902.59,124878.63,0,0
34,322,CASH_OUT,152573.02,C107180375,0.0,0.0,C528694616,5772205.11,5924778.13,0,0
35,274,TRANSFER,107072.58,C1419147653,0.0,0.0,C626537250,658110.63,671446.52,0,0
36,182,CASH_OUT,45163.2,C754151380,0.0,0.0,C912405348,954223.92,999387.12,0,0
37,185,CASH_OUT,62208.56,C1752846688,61084.0,0.0,C567410794,19157.73,81366.29,0,0
38,372,TRANSFER,268809.25,C1551565636,0.0,0.0,C1452009691,3504289.45,3773098.69,0,0
39,686,CASH_OUT,55817.08,C1244024619,0.0,0.0,C1757519618,56433.67,112250.75,0,0
40,36,TRANSFER,238222.85,C2032644252,0.0,0.0,C145040083,276146.94,744046.96,0,0
41,286,CASH_OUT,147321.57,C1394935686,1529.76,0.0,C1479586508,646861.28,794182.85,0,0
42,183,CASH_OUT,266492.28,C1865576883,0.0,0.0,C924270586,630246.51,896738.79,0,0
43,207,CASH_OUT,435794.97,C614265878,0.0,0.0,C310574694,1513756.29,1949551.26,0,0
